Date,Ticker,Shares,Average Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Company,Currency
2025-09-08 06:30:00 PDT,CTRN,9.2961,37.65,350.0,0.0,37.65,350.0,-0.0,BUY,"Citi Trends, Inc.",USD
2025-09-08 06:30:00 PDT,GMIN.TO,19.9661,22.54,450.0,0.0,22.54,450.04,0.04,BUY,G Mining Ventures Corp.,CAD
2025-09-08 06:30:00 PDT,VEE.TO,2.4987,43.37,108.38,0.0,43.37,108.37,-0.01,BUY,Vanguard FTSE Emerging Markets All Cap Index ETF,CAD
2025-09-09 13:00:00 PDT,CTRN,9.2961,37.65,350.0,0.0,35.17,326.94,-23.06,HOLD,"Citi Trends, Inc.",USD
2025-09-09 13:00:00 PDT,GMIN.TO,19.9661,22.54,450.0,0.0,22.89,457.02,7.02,HOLD,G Mining Ventures Corp.,CAD
2025-09-09 13:00:00 PDT,VEE.TO,2.4987,43.37,108.38,0.0,43.89,109.67,1.29,HOLD,Vanguard FTSE Emerging Markets All Cap Index ETF,CAD
2025-09-10 06:30:00 PDT,CRWD,0.7261,427.93,310.72,0.0,427.93,310.72,-0.0,BUY,"CrowdStrike Holdings, Inc.",USD
2025-09-10 06:30:00 PDT,HLIT.TO,29.4502,15.28,450.0,0.0,15.28,450.0,-0.0,BUY,Global X Lithium Producers Index ETF,CAD
2025-09-10 06:30:00 PDT,SMH,2.6624,300.48,799.99,0.0,300.48,800.0,0.01,BUY,VanEck Semiconductor ETF,USD
2025-09-10 06:30:00 PDT,WEB.V,227.2727,2.2,500.0,0.0,2.2,500.0,-0.0,BUY,Westbridge Renewable Energy Corp.,CAD
2025-09-10 06:30:00 PDT,XMA.TO,45.9667,33.72,1550.0,0.0,33.72,1550.0,-0.0,BUY,iShares S&P/TSX Capped Materials Index ETF,CAD
2025-09-10 06:30:00 PDT,ZCH.TO,16.1837,21.63,350.05,0.0,21.63,350.05,0.0,BUY,BMO MSCI China Selection Equity Index ETF,CAD
2025-09-10 12:13:00 PDT,PLTR,3.1406,165.15,518.66,0.0,165.15,518.67,0.01,BUY,Palantir Technologies Inc.,USD
2025-09-10 13:00:00 PDT,CTRN,9.2961,37.65,350.0,0.0,34.54,321.09,-28.91,HOLD,"Citi Trends, Inc.",USD
2025-09-10 13:00:00 PDT,GMIN.TO,19.9661,22.54,450.0,0.0,23.66,472.4,22.4,HOLD,G Mining Ventures Corp.,CAD
2025-09-10 13:00:00 PDT,VEE.TO,2.4987,43.37,108.38,0.0,44.1,110.19,1.81,HOLD,Vanguard FTSE Emerging Markets All Cap Index ETF,CAD
2025-09-11 13:00:00 PDT,CRWD,0.7261,427.93,310.72,0.0,433.38,314.68,3.96,HOLD,"CrowdStrike Holdings, Inc.",USD
2025-09-11 13:00:00 PDT,CTRN,9.2961,37.65,350.0,0.0,33.77,313.93,-36.07,HOLD,"Citi Trends, Inc.",USD
2025-09-11 13:00:00 PDT,GMIN.TO,19.9661,22.54,450.0,0.0,23.79,474.99,24.99,HOLD,G Mining Ventures Corp.,CAD
2025-09-11 13:00:00 PDT,HLIT.TO,29.4502,15.28,450.0,0.0,14.58,429.38,-20.62,HOLD,Global X Lithium Producers Index ETF,CAD
2025-09-11 13:00:00 PDT,PLTR,3.1406,165.15,518.66,0.0,164.36,516.19,-2.47,HOLD,Palantir Technologies Inc.,USD
2025-09-11 13:00:00 PDT,SMH,2.6624,300.48,799.99,0.0,303.93,809.18,9.19,HOLD,VanEck Semiconductor ETF,USD
2025-09-11 13:00:00 PDT,VEE.TO,2.4987,43.37,108.38,0.0,44.54,111.29,2.91,HOLD,Vanguard FTSE Emerging Markets All Cap Index ETF,CAD
2025-09-11 13:00:00 PDT,WEB.V,227.2727,2.2,500.0,0.0,2.18,495.45,-4.55,HOLD,Westbridge Renewable Energy Corp.,CAD
2025-09-11 13:00:00 PDT,XMA.TO,45.9667,33.72,1550.0,0.0,34.34,1578.5,28.5,HOLD,iShares S&P/TSX Capped Materials Index ETF,CAD
2025-09-11 13:00:00 PDT,ZCH.TO,16.1837,21.63,350.05,0.0,22.08,357.34,7.29,HOLD,BMO MSCI China Selection Equity Index ETF,CAD
2025-09-12 06:30:00 PDT,HLIT.TO,0.0,0.0,0.0,0.0,14.41,0.0,-25.62,SELL,Global X Lithium Producers Index ETF,CAD
2025-09-12 13:00:00 PDT,CRWD,0.7261,427.93,310.72,0.0,436.1,316.65,5.93,HOLD,"CrowdStrike Holdings, Inc.",USD
2025-09-12 13:00:00 PDT,CTRN,9.2961,37.65,350.0,0.0,33.93,315.42,-34.58,HOLD,"Citi Trends, Inc.",USD
2025-09-12 13:00:00 PDT,GMIN.TO,19.9661,22.54,450.0,0.0,24.29,484.98,34.98,HOLD,G Mining Ventures Corp.,CAD
2025-09-12 13:00:00 PDT,PLTR,3.1406,165.15,518.66,0.0,171.43,538.39,19.73,HOLD,Palantir Technologies Inc.,USD
2025-09-12 13:00:00 PDT,SMH,2.6624,300.48,799.99,0.0,304.32,810.22,10.23,HOLD,VanEck Semiconductor ETF,USD
2025-09-12 13:00:00 PDT,VEE.TO,2.4987,43.37,108.38,0.0,44.54,111.29,2.91,HOLD,Vanguard FTSE Emerging Markets All Cap Index ETF,CAD
2025-09-12 13:00:00 PDT,WEB.V,227.2727,2.2,500.0,0.0,2.15,488.64,-11.36,HOLD,Westbridge Renewable Energy Corp.,CAD
